Jenis Kerusakan,If,Then,Saran Perbaikan
Layar Pecah,Jika layar HP pecah atau retak,Ganti layar dengan yang baru,Ganti layar HP di pusat layanan resmi atau toko terpercaya
HP Tidak Bisa Menyala,Jika HP tidak merespon saat tombol power ditekan,Cek baterai dan coba cas,"Periksa baterai dan charger, jika perlu ganti baterai"
Suara Tidak Keluar,Jika suara HP tidak keluar meskipun volume sudah dinaikkan,Periksa pengaturan suara atau speaker,"Cek pengaturan suara dan coba restart HP; jika tetap tidak berfungsi, periksa speaker atau ganti jika rusak"
HP Lemot,Jika HP terasa lambat atau lag,Tutup aplikasi yang berjalan di background,"Hapus cache aplikasi, nonaktifkan aplikasi yang tidak perlu"
Kamera Tidak Berfungsi,Jika kamera tidak bisa digunakan atau hasilnya buram,Periksa lensa dan pengaturan kamera,"Cek lensa, bersihkan debu; jika tetap rusak, bawa ke teknisi"
Tidak Bisa Mengisi Daya,Jika HP tidak mengisi daya meskipun charger terpasang,Periksa kabel dan port charger,"Cek kabel charger dan port USB, ganti kabel jika rusak"
Wi-Fi Tidak Tersambung,Jika Wi-Fi tidak bisa terkoneksi ke jaringan,Cek pengaturan Wi-Fi atau restart router,"Restart Wi-Fi, periksa pengaturan jaringan, coba reset pengaturan jaringan HP"
Masalah Pada SIM Card,Jika SIM Card tidak terbaca,Cek apakah SIM Card terpasang dengan benar,"Lepaskan dan pasang kembali SIM Card, cek apakah ada kerusakan pada SIM Card"
HP Cepat Panas,Jika HP terasa sangat panas saat digunakan,"Matikan HP dan biarkan dingin, tutup aplikasi berat","Hindari penggunaan aplikasi berat dalam waktu lama, gunakan casing yang membantu sirkulasi udara"
Layar Sentuh Tidak Responsif,Jika layar sentuh tidak responsif atau error,Cek apakah ada debu atau kotoran di layar,"Bersihkan layar dengan kain microfiber, coba restart HP"
Aplikasi Tidak Bisa Dibuka,Jika aplikasi tidak bisa dibuka atau tertutup sendiri,Cek pembaruan aplikasi dan kapasitas memori,"Perbarui aplikasi, hapus aplikasi yang tidak perlu untuk ruang lebih banyak"
Bluetooth Tidak Terhubung,Jika Bluetooth tidak bisa terkoneksi dengan perangkat lain,Periksa pengaturan Bluetooth,"Matikan dan nyalakan ulang Bluetooth, pastikan perangkat yang terhubung dalam jangkauan"
GPS Tidak Akurat,Jika GPS tidak memberikan lokasi yang tepat,Cek pengaturan lokasi dan jaringan internet,"Aktifkan GPS dengan presisi tinggi, periksa koneksi data atau Wi-Fi"
Layar Berkedip,Jika layar berkedip atau flickering,Cek pengaturan refresh rate atau aplikasi,Ubah pengaturan refresh rate di pengaturan layar atau periksa aplikasi yang menyebabkan gangguan
Touchscreen Terkunci,Jika touchscreen tidak berfungsi atau tidak dapat dipakai,Coba restart HP,"Jika tidak berhasil, periksa masalah perangkat keras atau bawa ke pusat layanan"
Tombol Home Tidak Berfungsi,Jika tombol home tidak merespons,Coba gunakan tombol virtual atau gestur,Periksa apakah ada kotoran pada tombol fisik atau gunakan pengaturan gestur untuk menggantikan tombol fisik
HP Terjatuh Dari Ketinggian,Jika HP terjatuh dan tidak menyala atau ada kerusakan lain,Periksa apakah ada kerusakan pada internal HP,"Jika ada kerusakan internal, bawa ke pusat servis untuk diperiksa lebih lanjut"
Gambar Buram Pada Layar,Jika gambar di layar terlihat buram atau terdistorsi,Cek pengaturan resolusi atau tampilan,Sesuaikan pengaturan resolusi layar atau kalibrasi layar untuk kualitas gambar yang lebih baik
HP Tidak Bisa Terhubung ke Komputer,Jika HP tidak terdeteksi saat disambungkan ke komputer,Periksa kabel USB dan port,"Ganti kabel USB jika rusak, pastikan driver perangkat telah terinstal dengan benar di komputer"
Koneksi Internet Lemot,Jika kecepatan internet sangat lambat meskipun Wi-Fi atau data seluler aktif,Cek pengaturan jaringan dan restart router,"Pastikan pengaturan jaringan benar, restart Wi-Fi, atau hubungi provider layanan jika masalah terus berlanjut"
Notifikasi Tidak Muncul,Jika notifikasi tidak muncul atau tertunda,Periksa pengaturan notifikasi dan mode jangan ganggu,"Pastikan mode jangan ganggu tidak aktif, periksa pengaturan aplikasi untuk notifikasi"
Tombol Volume Tidak Berfungsi,Jika tombol volume tidak dapat digunakan,Coba atur volume menggunakan pengaturan di layar,"Cek apakah tombol volume kotor atau rusak, bawa ke teknisi jika diperlukan"
Kamera Depan Tidak Berfungsi,Jika kamera depan tidak dapat digunakan atau hasilnya buram,Periksa pengaturan kamera atau aplikasi terkait,"Cek pengaturan aplikasi kamera, bersihkan lensa kamera depan, atau bawa ke teknisi jika rusak"
Layar Mati Secara Tiba-Tiba,Jika layar HP tiba-tiba mati atau hitam,Periksa apakah baterai habis atau overheat,"Cas HP jika baterai habis, jika tidak ada perubahan, periksa kerusakan pada layar atau motherboard"
Tidak Ada Suara Saat Menelpon,Jika suara tidak keluar saat panggilan telepon,Cek pengaturan audio panggilan atau speaker,"Pastikan speaker berfungsi dengan baik, coba restart HP atau ganti komponen speaker jika rusak"
Sinyal Seluler Lemah,Jika sinyal seluler lemah atau hilang di daerah tertentu,Cek pengaturan jaringan dan mode pesawat,"Pastikan pengaturan jaringan sudah benar, matikan mode pesawat, atau coba ganti tempat"
Menggunakan Data Seluler Mahal,Jika kuota data cepat habis atau tagihan seluler tinggi,Periksa penggunaan data dan aplikasi terkait,"Gunakan Wi-Fi jika memungkinkan, cek aplikasi yang menggunakan data banyak, dan atur pembatasan data"
HP Tidak Bisa Disentuh di Beberapa Area,Jika sebagian layar tidak dapat digunakan meskipun tidak ada kerusakan fisik,Coba restart atau kalibrasi layar sentuh,"Jika masalah tetap berlanjut, bawa ke pusat layanan untuk pemeriksaan lebih lanjut"
Sensor Sidik Jari Tidak Berfungsi,Jika sensor sidik jari tidak mendeteksi jari dengan benar,Coba daftar ulang sidik jari atau bersihkan sensor,"Bersihkan sensor sidik jari, pastikan tangan tidak kotor atau basah saat menggunakan"
Mode Pesawat Tidak Bisa Dimatikan,Jika mode pesawat tetap aktif meskipun sudah dimatikan,Coba restart HP,Periksa apakah ada masalah perangkat lunak atau reset pengaturan jaringan
Layar Terlalu Gelap,Jika layar terlalu gelap meskipun pengaturan kecerahan sudah diatur,Cek pengaturan otomatis kecerahan,Matikan mode otomatis dan atur kecerahan layar secara manual
Pengisian Daya Lambat,Jika pengisian daya sangat lambat meskipun charger terpasang,Cek apakah kabel charger dan adapter rusak,Ganti kabel charger atau gunakan charger dengan daya lebih tinggi
HP Tidak Bisa Menerima Pesan,Jika pesan teks tidak masuk meskipun jaringan aktif,Periksa pengaturan aplikasi pesan,"Pastikan aplikasi pesan berfungsi dengan benar, coba restart HP"
HP Terkena Air,Jika HP terkena Air atau basah,Matikan segera dan keringkan Jangan nyalakan HP,"letakkan di tempat kering atau gunakan kantong silika dan bawa ke teknisi untuk pemeriksaan lebih lanjut jika diperlukan"
Ponsel Terkunci Akibat Lupa Kata Sandi,Jika lupa kata sandi atau pola kunci,Gunakan opsi lupa kata sandi atau reset ponsel,"Reset menggunakan akun Google yang terhubung atau lakukan factory reset"
Tidak Bisa Mengunduh Aplikasi,Jika aplikasi tidak bisa diunduh dari Play Store atau App Store,Cek koneksi internet dan ruang penyimpanan,"Pastikan koneksi stabil, kosongkan ruang penyimpanan, dan perbarui Play Store atau App Store"
Layar Retak di Dalam,Jika layar retak di dalam meskipun tidak ada kerusakan luar,Periksa apakah ada tekanan berlebihan pada layar,"Bawa ke teknisi untuk mengganti layar atau komponen internal"
HP Tidak Bisa Mengirim Pesan,Jika pesan tidak terkirim meskipun jaringan aktif,Cek pengaturan jaringan dan aplikasi pesan,"Periksa pengaturan jaringan pastikan nomor tujuan benar dan coba kirim ulang pesan"
HP Tidak Bisa Restart,Jika HP tidak bisa restart atau hang,Tekan tombol power selama beberapa detik,"Jika tetap tidak bisa lakukan hard reset atau bawa ke teknisi"
Flashlight Tidak Berfungsi,Jika flashlight tidak menyala,Cek pengaturan flashlight atau aplikasi kamera,"Periksa pengaturan restart HP atau periksa kerusakan hardware jika diperlukan"
Perangkat Tidak Bisa di Root,Jika proses root gagal atau tidak bisa dilakukan,Periksa kompatibilitas perangkat dan metode root,"Pastikan menggunakan metode root yang sesuai dengan perangkat dan periksa apakah perangkat terkunci bootloader-nya"
Touch ID Lambat atau Gagal,Jika Touch ID lambat merespon atau gagal,Perbarui atau daftar ulang sidik jari,"Bersihkan sensor pastikan jari tidak basah atau kotor"
HP Tidak Bisa Menginstal Pembaruan,Jika pembaruan sistem tidak bisa diinstal,Cek kapasitas penyimpanan dan koneksi internet,"Pastikan ada cukup ruang penyimpanan dan koneksi stabil restart HP dan coba lagi"
Masalah Pada Port Audio,Jika suara tidak keluar dari headphone,Cek port audio dan earphone,"Bersihkan port audio pastikan earphone berfungsi atau ganti port audio jika rusak"
Masalah Pada SD Card,Jika SD Card tidak terbaca,Cek apakah SD Card terpasang dengan benar,"Format ulang SD Card di komputer atau ganti SD Card jika rusak"
Tidak Bisa Screenshot,Jika HP tidak bisa mengambil screenshot,Cek pengaturan dan ruang penyimpanan,"Pastikan tidak ada pembatasan aplikasi kosongkan ruang penyimpanan jika penuh"
HP Terinfeksi Malware,Jika HP menunjukkan perilaku aneh atau iklan terus muncul,Pasang aplikasi antivirus dan lakukan pemindaian,"Hapus aplikasi mencurigakan perbarui sistem keamanan dan lakukan factory reset jika perlu"
HP Tidak Bisa Membuka Galeri,Jika galeri tidak bisa dibuka atau foto tidak muncul,Periksa pengaturan penyimpanan dan cache galeri,"Hapus cache aplikasi galeri atau restart HP pastikan penyimpanan berfungsi"
Error Pada Sistem Android,Jika muncul pesan error sistem Android,Cek pembaruan sistem dan aplikasi,"Perbarui sistem hapus aplikasi yang menyebabkan error atau lakukan factory reset jika diperlukan"
HP Tidak Bisa Dikunci,Jika layar HP tidak bisa dikunci,Periksa pengaturan layar kunci dan sidik jari,"Pastikan pengaturan layar kunci aktif restart HP atau perbarui pengaturan keamanan"
Baterai Tidak Tahan Lama,Jika baterai cepat habis meskipun tidak digunakan secara intensif,Periksa penggunaan aplikasi dan kondisi baterai,"Nonaktifkan aplikasi latar belakang yang tidak perlu kurangi kecerahan layar dan ganti baterai jika sudah usang"
Mode Gelap Tidak Berfungsi,Jika mode gelap tidak bisa diaktifkan atau tidak berfungsi,Cek pengaturan tampilan dan aplikasi,"Pastikan mode gelap diaktifkan di pengaturan dan periksa kompatibilitas aplikasi dengan mode gelap"
Masalah Pada Pembayaran NFC,Jika NFC tidak bisa digunakan untuk pembayaran,Cek pengaturan NFC dan aplikasi pembayaran,"Pastikan NFC diaktifkan periksa saldo akun dan restart aplikasi pembayaran"
Masalah Pada Layar AMOLED,Jika layar AMOLED mengalami burn-in atau pixel mati,Coba gunakan aplikasi untuk mengurangi burn-in,"Atur brightness layar gunakan wallpaper gelap dan bawa ke pusat layanan jika kerusakan parah"
Tidak Bisa Mengakses Play Store,Jika Play Store tidak bisa dibuka,Cek koneksi internet dan cache Play Store,"Hapus cache dan data aplikasi Play Store restart HP atau perbarui sistem operasi"
HP Tidak Bisa Terkoneksi ke VPN,Jika VPN tidak bisa terhubung,Cek pengaturan VPN dan jaringan internet,"Pastikan konfigurasi VPN benar periksa koneksi internet dan coba ganti server VPN"
